source,target,score
CSMD1,PITPNA,0.19598413
KCNIP4,PITPNA,0.19556917
SYT1,MYSM1,0.19203486
PDE4D,PITPNA,0.19053026
SYT1,PITPNA,0.19041944
ARFGEF3,PITPNA,0.18750769
CACNA2D3,PITPNA,0.18625091
PPP3CA,PITPNA,0.18530957
KCNMA1,PITPNA,0.18314601
FRMPD4,PITPNA,0.18280691
RBFOX2,PITPNA,0.18271588
RPS6KA2,PITPNA,0.18214542
NEGR1,MYSM1,0.1821381
ADAM23,PITPNA,0.181419
RIMS2,PITPNA,0.18104845
DLGAP1,PITPNA,0.18052222
R3HDM1,PITPNA,0.18025835
NELL1,PITPNA,0.17896523
CSMD1,THOC1,0.17850073
CELF4,MYSM1,0.17632104
NRG3,MYSM1,0.17598422
NETO1,PITPNA,0.17498569
SYT1,CDC40,0.17443688
SCN2A,THOC1,0.17428488
TRIM44,PITPNA,0.17422111
TMEM178B,PITPNA,0.17374659
GRIN2B,TTC5,0.17346305
PDE4D,THOC1,0.17319696
PCLO,MYSM1,0.17302877
TRIM9,PITPNA,0.1727736
ARHGEF12,PITPNA,0.1727729
KHDRBS2,FOXO3,0.17249463
BTBD9,PITPNA,0.17215426
CNTNAP5,PITPNA,0.1720893
HCN1,ABCC1,0.1715724
PTPRN2,PITPNA,0.17112046
FRMPD4,SLC39A9,0.17055519
KALRN,PITPNA,0.17042524
OXR1,PITPNA,0.1690299
DLG2,SLC39A9,0.16893004
DOCK3,SLC39A9,0.16891183
CADPS,MYSM1,0.16887796
CACNA1A,PITPNA,0.16876584
ANKS1B,PITPNA,0.1684345
AHI1,PITPNA,0.16822249
MTUS2,PITPNA,0.16821982
NALF1,CDC40,0.16788185
TANC2,PITPNA,0.1676615
LRRTM4,THOC1,0.1674069
CACNA1A,MYSM1,0.16728772
SIK2,PITPNA,0.16710354
SNTG1,THOC1,0.16684157
DCLK1,PITPNA,0.1668297
APBA1,ABCC1,0.16640624
EPB41L3,PITPNA,0.16619481
SNTB2,PITPNA,0.16604088
CTNNA2,PITPNA,0.16584967
TRPM3,PHF3,0.1658479
FRMPD4,PUS7L,0.16572544
NAV2,THOC1,0.16544776
KCND2,CDC40,0.16522521
RIMS2,MYSM1,0.16521604
NTRK3,PITPNA,0.16484241
GRIP1,CDC40,0.16452917
BRAF,PITPNA,0.16430812
CACNA1A,SLC39A9,0.16389076
NSD3,PITPNA,0.1636391
FBXL17,PITPNA,0.16360003
MACROD2,THOC1,0.16350268
CSMD1,ABCC1,0.16310056
GABRG3,THOC1,0.16309775
FGF14,PITPNA,0.16306871
NAV3,PITPNA,0.16303144
RTN3,THOC1,0.16293943
PCDH7,PITPNA,0.16292731
CNOT4,PITPNA,0.16287567
SYT1,SLC39A9,0.16263378
LRRTM4,SLC39A9,0.16178046
LRRTM4,PITPNA,0.16162206
PHACTR1,PUS7L,0.1614268
GRIP1,THOC1,0.16141678
PTPRN2,ABCC1,0.16138412
NALF1,PITPNA,0.16118005
NEGR1,SLC39A9,0.16104119
NEGR1,BMAL1,0.16086859
KIRREL3,SUMF1,0.16049944
SLC8A1,CDC40,0.16025154
CELF4,CDC40,0.1602357
CNTNAP5,XPO4,0.16020639
PPP3CA,SLC39A9,0.16017565
DLGAP1,CDC40,0.15989397
NBEA,PUS7L,0.15978345
LRP1B,CUL5,0.15962526
MEF2C,PITPNA,0.15961663
NBEA,SLC39A9,0.15952484
FGF14,THOC1,0.15943748
PTPRN2,PUS7L,0.15895015
RIMS2,FOXO3,0.15883607
LRRC4C,SLC39A9,0.15869354
NBEA,ZNF277,0.158577
PPFIA2,PITPNA,0.15852429
LRRC4C,PUS7L,0.15848263
GRIP1,XPO4,0.15836819
CADPS,SUMF1,0.1581668
CNKSR2,MYSM1,0.15811172
MBD5,SLC39A9,0.1579715
RGS7,PITPNA,0.15781994
PHACTR1,SLC39A9,0.15780857
ZNF385B,MYSM1,0.15767673
RGS7,MYSM1,0.15760319
CCSER1,PITPNA,0.15749775
GRID1,ABCC1,0.15743439
CPEB4,PITPNA,0.15735951
CSMD1,TRAF3,0.15734063
MBD5,ABCC1,0.15717122
GALNTL6,CDC40,0.15716773
LDB2,PITPNA,0.1570713
CELF2,SLC39A9,0.15696044
FGF13,TRAF3,0.15659104
CSMD1,SENP2,0.15646653
GABRB3,PUS7L,0.15630929
MTHFD2L,TMEM259,0.15583734
GLS,PITPNA,0.1558174
CNTN5,XPO4,0.15535359
SYT1,LZIC,0.15481417
NBEA,DYNC1H1,0.15465216
GRIN2B,SENP2,0.1545962
RABGAP1L,ABCC1,0.15447377
NEGR1,PUS7L,0.15446621
KCNIP4,SENP2,0.15431009
CSMD1,SLC39A9,0.1542833
LINGO2,ABCC1,0.15425159
CSMD1,LZIC,0.15417169
