source,target,score
SYT1,MROH1,0.18941186
CSMD1,ASXL2,0.18833749
ADGRL3,MROH1,0.18319581
FRMPD4,C2CD5,0.17704898
CELF4,ASXL2,0.1766048
CADM2,MROH1,0.17651534
PHACTR1,DNAJC1,0.17614923
KCNIP4,MROH1,0.17428844
PTPRN2,POM121C,0.17376624
MCTP1,MROH1,0.17331322
LRP1B,ASXL2,0.17241652
CACNA2D3,POM121C,0.1706564
ADGRB3,MROH1,0.16971028
RTN4,MROH1,0.16945606
CSMD1,POM121C,0.1694438
TOX,DNAJC1,0.16920494
RIMS2,POM121C,0.16906679
LHFPL3,SRBD1,0.1687377
PHACTR1,MROH1,0.1684199
SCN2A,DNAJC1,0.16809918
CELF2,MROH1,0.16793722
DLGAP1,MROH1,0.16782731
SV2B,SPAG16,0.16724698
ANK3,DNAJC1,0.16619083
PHACTR1,AAK1,0.16575669
SYT1,C2CD5,0.16536216
PDE4D,POM121C,0.16529353
SYT1,ASXL2,0.16483766
NEGR1,POM121C,0.1644655
MACROD2,AAK1,0.16410343
ADGRL3,SRBD1,0.16369493
LRRC4C,SRBD1,0.16355549
KHDRBS2,DNAJC1,0.16350697
MYCBP2,MROH1,0.16317748
ANK3,AAK1,0.16314276
ANKS1B,DNAJC1,0.16282246
PPP2R2C,POM121C,0.16277665
RGS7,ASXL2,0.16124946
CSMD1,LRRC28,0.16109726
KHDRBS2,C2CD5,0.16108762
PCLO,C2CD5,0.16103967
NAV2,SRBD1,0.16041517
CADM2,C2CD5,0.16014405
LRFN2,PCNX2,0.15952383
PCDH15,SRBD1,0.15931027
SAMD12,SPAG16,0.15894614
DOCK3,MROH1,0.1586145
MEF2C,DNAJC1,0.15846057
PDZD2,MROH1,0.15827666
PHACTR1,LRRC28,0.15798329
KHDRBS2,AAK1,0.15787883
LRRTM4,SRBD1,0.15748796
PPP3CA,POM121C,0.1570275
MYT1L,ASXL2,0.15614913
LRRTM4,MROH1,0.15601721
CSMD1,SRBD1,0.15581878
ADGRL3,ASXL2,0.1557966
NALF1,DNAJC1,0.15533957
FRMPD4,DNAJC1,0.15524574
PPP3CA,MROH1,0.15496986
QKI,SRBD1,0.15486163
ARFGEF3,LRRC28,0.1548443
NBEA,CSAD,0.1547176
AGAP1,SRBD1,0.15452765
CALM1,MROH1,0.1544781
LARGE1,LRRC28,0.15445374
PAK3,LRRC28,0.15430234
PPP3CA,DNAJC1,0.1542005
RABGAP1L,C2CD5,0.15406263
MACF1,DNAJC1,0.15398063
NALF1,MROH1,0.15381096
ADGRB3,ASXL2,0.15375206
NALF1,ASXL2,0.15348983
JMJD1C,SRBD1,0.15347987
KCNIP4,DNAJC1,0.15343486
SLC35F1,SRBD1,0.15336923
ADGRB3,AAK1,0.15319419
PDE4D,AAK1,0.15293767
CELF2,POM121C,0.15251006
PHACTR1,C2CD5,0.15250498
KHDRBS2,SPAG16,0.15244842
OPCML,SRBD1,0.1523786
CTNNA2,AAK1,0.15231009
TMEM178B,MROH1,0.1520164
CADM2,POM121C,0.15200897
HERC1,DNAJC1,0.15199949
MBD5,AAK1,0.15173787
JMJD1C,C2CD5,0.15170561
PRKN,SRBD1,0.15155934
GPHN,AAK1,0.15150349
ANK3,MROH1,0.15134735
GPATCH8,DNAJC1,0.15120442
TNR,SRBD1,0.15118864
CA10,SRBD1,0.15102644
OXR1,POM121C,0.15100932
FRMPD4,ASXL2,0.15086377
GABRB3,DNAJC1,0.15081811
CSMD1,NIPSNAP2,0.15059803
NEGR1,MROH1,0.15049063
RBFOX3,ASXL2,0.15030959
ZBTB20,SRBD1,0.15022631
ASIC2,POM121C,0.15021467
NBEA,CFAP36,0.15003227
CCSER1,DNAJC1,0.15002483
DOCK3,DNAJC1,0.14983399
MAPK8,CHCHD3,0.14964168
ERC2,MROH1,0.14960502
KIF1B,DNAJC1,0.14956619
GRIA2,CFAP36,0.14954546
CADM2,SRBD1,0.14943062
MGAT4C,CFAP36,0.14940403
CADPS,NIPSNAP2,0.14934519
PPP2R2B,DNAJC1,0.14914961
CTNNA2,MROH1,0.14909486
MCTP1,ASXL2,0.14902644
NRCAM,LRRC28,0.14891794
LRP1B,SRBD1,0.14891754
NRXN3,POM121C,0.14881296
GRIP1,NIPSNAP2,0.14873196
MBD5,POM121C,0.14872739
CNTN4,CFAP36,0.14869007
RBFOX1,POM121C,0.14867721
BMPR2,ASXL2,0.14863361
DHX36,MROH1,0.14861998
KCNIP4,POM121C,0.1485968
MAP2K4,DNAJC1,0.1481451
VPS53,LRRC28,0.14813654
ANKS1B,MROH1,0.14811996
FRMPD4,SPAG16,0.14805967
TCF4,DNAJC1,0.14797011
ANKS1B,C2CD5,0.14793758
GABRB3,AAK1,0.14787605
RIMS1,LRRC28,0.14781405
FHIT,SRBD1,0.14780043
PRKCA,SRBD1,0.14745489
PHACTR1,POM121C,0.14728296
PEX5L,ACER3,0.14723952
FRMD4A,POM121C,0.14723329
SYT1,NIPSNAP2,0.14703941
N4BP2L2,MROH1,0.1470133
NAV1,SRBD1,0.1468296
DSCAM,SRBD1,0.14668612
DYNC1H1,C2CD5,0.14662805
SYT1,CFAP36,0.14652897
BCL11A,LRRC28,0.14621368
DPP6,SRBD1,0.1456561
NFIA,SRBD1,0.14555882
PDE4D,DNAJC1,0.14553884
LINGO2,AAK1,0.14553252
PPP3CA,LRRC28,0.14540677
LSAMP,SRBD1,0.14538908
ATRNL1,POM121C,0.14532346
MDGA2,AAK1,0.14525618
TENM2,DNAJC1,0.14520644
JMJD1C,DNAJC1,0.14514872
SRRM4,LRRC28,0.14509836
NLGN1,SRBD1,0.14485301
KCNB2,CFAP36,0.14483981
NRXN1,ASXL2,0.14482664
ANK3,ASXL2,0.14482589
ADGRL2,MROH1,0.14477512
ANKS1B,POM121C,0.14475758
MEGF11,SRBD1,0.14468941
OPHN1,SRBD1,0.1445931
KCNQ5,POM121C,0.1445821
CADPS,LRRC28,0.14456214
GPM6A,MROH1,0.14446622
MEF2C,MROH1,0.14442499
CNKSR2,DNAJC1,0.14438926
KHDRBS3,AAK1,0.14436768
R3HDM1,POM121C,0.14427577
ERC2,DNAJC1,0.14415511
MAPK8,AAK1,0.14401521
PCDH7,SRBD1,0.14396946
KALRN,DNAJC1,0.14384212
PCDH9,SRBD1,0.14379041
PTPRD,LRRC28,0.14378439
WDPCP,ASXL2,0.14373963
EML6,MROH1,0.14362445
KIF1B,SPAG16,0.14361686
BASP1,C2CD5,0.14351176
PID1,SRBD1,0.14335068
CADPS,ASXL2,0.14325579
FER,LRRC28,0.14321133
ANKS1B,LRRC28,0.14312425
LRRTM4,NIPSNAP2,0.14299138
ANKS1B,ASXL2,0.14293979
NRG3,ASXL2,0.14283584
LRRTM4,POM121C,0.14281593
PPP2R2C,ASXL2,0.14277396
PHACTR1,CFAP36,0.14256836
ATP8A2,DNAJC1,0.14241709
CTNND2,SRBD1,0.14225546
PDE4B,SRBD1,0.14224847
ANK2,C2CD5,0.14223056
ARID1B,ASXL2,0.14220835
ARHGAP21,C2CD5,0.14219445
NRXN3,ACER3,0.1421403
TAFA2,DNAJC1,0.14201243
RTN4,HACD2,0.14200728
NBEA,SRBD1,0.14200535
DCLK1,POM121C,0.14184824
MAGI2,POM121C,0.14181004
TANC2,SRBD1,0.14177476
LRFN5,MROH1,0.14161104
TMEM178B,ZNF131,0.14149773
FTO,POM121C,0.1414966
NALF1,POM121C,0.14144976
DLGAP1,DNAJC1,0.14137958
RERE,POM121C,0.1410683
LINGO2,CHCHD3,0.1410553
FOXP1,DNAJC1,0.14066006
CSMD3,MROH1,0.1406599
RIMS2,ASXL2,0.14056152
MSI2,SRBD1,0.14056045
CSMD1,RMDN3,0.14048819
CTNNA2,C2CD5,0.14046064
SNTG1,LRRC28,0.14045744
MMP16,SRBD1,0.14044423
CACNA2D3,CFAP36,0.14037174
PDZD2,POM121C,0.14035101
KIRREL3,NIPSNAP2,0.14030491
PTPRD,ASXL2,0.14023025
AAK1,POM121C,0.14018963
LSAMP,C2CD5,0.14017339
NTM,SRBD1,0.14008674
GABRB1,AAK1,0.14004022
FGF12,ASXL2,0.14001177
DSCAM,ASXL2,0.13993914
PTPRZ1,SRBD1,0.13988826
MAML2,SRBD1,0.13981737
LRRTM4,SPAG16,0.13972907
NLK,DNAJC1,0.13972671
PCLO,DNAJC1,0.1397069
ADGRL3,CFAP36,0.13964678
ADGRL3,LRRC28,0.13957392
FGF14,MROH1,0.13952391
ADGRB3,C2CD5,0.13951214
HCN1,DNAJC1,0.13950951
ROBO2,ASXL2,0.13943934
CNTN4,MAPRE2,0.13941517
ANKS1B,SRBD1,0.13940541
ARIH1,ZNF131,0.13933896
MED13L,ZNF131,0.13922168
KIAA1217,ASXL2,0.13919324
HCN1,SPAG16,0.13906966
SFPQ,ATP13A3,0.13899823
ANKS1B,SPAG16,0.13881586
ZNF804B,CHCHD3,0.13871147
SAMD12,MROH1,0.1386557
RABGAP1L,DNAJC1,0.13851357
CELF2,CFAP36,0.1384988
ARHGAP26,MROH1,0.13847004
ASAP1,SRBD1,0.13843383
TAFA2,LRRC28,0.13832285
EPHA6,MROH1,0.13826059
NEGR1,ASXL2,0.1382466
RALYL,ASXL2,0.13810839
TAOK3,SRBD1,0.13807416
SNTG1,CSAD,0.13799827
LUZP2,SRBD1,0.13792334
TOX,LRRC28,0.1378701
NRG3,MROH1,0.13785179
PDE4D,C2CD5,0.1378461
CHRM3,POM121C,0.13782975
KALRN,MROH1,0.13779156
NOVA1,SRBD1,0.1377671
LRRC4C,LRRC28,0.13766815
MAPT,ASXL2,0.13764386
NRCAM,SRBD1,0.13754988
CNTN1,SRBD1,0.13750955
SLC35F4,CHCHD3,0.1374998
DLGAP1,NIPSNAP2,0.13749896
KIF1B,POM121C,0.13748571
TENM2,SPAG16,0.13745221
LRRC4C,UBE3A,0.13738558
NBEA,MAPRE2,0.1372665
ERC1,NIPSNAP2,0.1371382
ERC2,ASXL2,0.13712557
SLC24A2,NIPSNAP2,0.13711691
MACF1,CSAD,0.13693194
RBFOX1,CFAP36,0.13683976
FRY,AAK1,0.13669716
COMMD1,DNAJC1,0.13665925
FGF13,CHCHD3,0.13652271
KCND2,LRRC28,0.13647199
SCAI,ZNF131,0.13638932
MDGA2,ASXL2,0.13638736
SMYD3,POM121C,0.13633615
ADGRL3,MAPRE2,0.13618757
NALF1,SPAG16,0.13618109
PDZD2,SRBD1,0.13617538
CDK19,ACER3,0.13594727
PTPRD,SPAG16,0.13590021
ENOX1,DNAJC1,0.13585016
DSCAM,LRRC28,0.13582529
ANK2,LRRC28,0.13578372
GABRB3,POM121C,0.1357217
NEGR1,CFAP36,0.1356924
WDPCP,MROH1,0.1356728
FGF14,POM121C,0.13566466
GABRB3,CFAP36,0.13564575
KALRN,ZNF131,0.13526341
ADGRB3,NIPSNAP2,0.13525943
TNRC6A,SRBD1,0.13521256
DGKB,MROH1,0.13521193
NLGN4Y,SRBD1,0.13516486
GABRB1,ZNF131,0.13510256
NEK10,DDX10,0.13503665
RAB2A,AAK1,0.13486867
RALYL,DNAJC1,0.13481921
PLEKHA5,MROH1,0.13481309
SPATS2,POM121C,0.13479228
FTO,DNAJC1,0.13476273
KCNMA1,DNAJC1,0.13475983
LMO4,SPAG16,0.13475876
